OBJECTID,ReportDate,NegativeTests
159,2020/08/28 14:00:00+00,1184606
160,2020/08/29 14:00:00+00,1197189
161,2020/08/30 14:00:00+00,1211447
162,2020/08/31 14:00:00+00,1222604
163,2020/09/01 14:00:00+00,1230054
164,2020/09/02 14:00:00+00,1236327
165,2020/09/03 14:00:00+00,1247593
166,2020/09/04 14:00:00+00,1260634
167,2020/09/05 14:00:00+00,1272848
168,2020/09/06 14:00:00+00,1281205
169,2020/09/07 14:00:00+00,1292306
170,2020/09/08 14:00:00+00,1297359
171,2020/09/09 14:00:00+00,1301947
172,2020/09/10 14:00:00+00,1309649
173,2020/09/11 14:00:00+00,1318152
174,2020/09/12 14:00:00+00,1328919
175,2020/09/13 14:00:00+00,1339735
176,2020/09/14 14:00:00+00,1348217
177,2020/09/15 14:00:00+00,1355537
178,2020/09/16 14:00:00+00,1365070
179,2020/09/17 14:00:00+00,1375823
180,2020/09/18 14:00:00+00,1385805
181,2020/09/19 14:00:00+00,1399060
182,2020/09/20 14:00:00+00,1409320
183,2020/09/21 14:00:00+00,1417061
184,2020/09/22 14:00:00+00,1423102
185,2020/09/23 14:00:00+00,1430808
186,2020/09/24 14:00:00+00,1439779
187,2020/09/25 14:00:00+00,1450125
188,2020/09/26 14:00:00+00,1461328
189,2020/09/27 14:00:00+00,1470960
190,2020/09/28 14:00:00+00,1479219
191,2020/09/29 14:00:00+00,1485999
192,2020/09/30 14:00:00+00,1493282
193,2020/10/01 14:00:00+00,1502690
194,2020/10/02 14:00:00+00,1513563
195,2020/10/03 14:00:00+00,1522906
196,2020/10/04 14:00:00+00,1532557
197,2020/10/05 14:00:00+00,1540526
198,2020/10/06 14:00:00+00,1547023
199,2020/10/07 14:00:00+00,1555240
200,2020/10/08 14:00:00+00,1566874
201,2020/10/09 14:00:00+00,1577208
202,2020/10/10 14:00:00+00,1589007
203,2020/10/11 14:00:00+00,1600487
204,2020/10/12 14:00:00+00,1610574
205,2020/10/13 14:00:00+00,1618966
206,2020/10/14 14:00:00+00,1627736
207,2020/10/15 14:00:00+00,1637287
208,2020/10/16 14:00:00+00,1648128
209,2020/10/17 14:00:00+00,1659777
210,2020/10/18 14:00:00+00,1671005
211,2020/10/19 14:00:00+00,1680568
