OBJECTID,County,d_6_15_2020,d_6_16_2020,d_6_17_2020,d_6_18_2020,d_6_19_2020,d_6_20_2020,d_6_21_2020,d_6_22_2020,d_6_23_2020,d_6_24_2020,d_6_25_2020,d_6_26_2020,d_6_27_2020,d_6_28_2020,d_6_29_2020,d_6_30_2020,d_7_1_2020,d_7_2_2020,d_7_3_2020,d_7_4_2020,d_7_5_2020,d_7_6_2020,d_7_7_2020,d_7_8_2020,d_7_9_2020,d_7_10_2020,d_7_11_2020,d_7_12_2020,d_7_13_2020,d_7_14_2020,d_7_15_2020,d_7_16_2020,d_7_17_2020,d_7_18_2020,d_7_19_2020,d_7_20_2020,d_7_21_2020,d_7_22_2020,d_7_23_2020,d_7_24_2020,d_7_25_2020,d_7_26_2020,d_7_27_2020,d_7_28_2020,d_7_29_2020,d_7_30_2020,d_7_31_2020,d_8_1_2020,d_8_2_2020,d_8_3_2020,d_8_4_2020,d_8_5_2020,d_8_6_2020,d_8_7_2020,d_8_8_2020,d_8_9_2020,d_8_10_2020,d_8_11_2020,d_8_12_2020,d_8_13_2020,d_8_14_2020,d_8_15_2020,d_8_16_2020,d_8_17_2020,d_8_18_2020,d_8_19_2020,d_8_20_2020,d_8_21_2020,d_8_22_2020,d_8_23_2020,d_8_24_2020,d_8_25_2020,d_8_26_2020,d_8_27_2020,d_8_28_2020,d_8_29_2020,d_8_30_2020,d_8_31_2020,d_9_1_2020,d_9_2_2020,d_9_3_2020,d_9_4_2020,d_9_5_2020,d_9_6_2020,d_9_7_2020,d_9_8_2020,d_9_9_2020,d_9_10_2020,d_9_11_2020,d_9_12_2020,d_9_13_2020,d_9_14_2020,d_9_15_2020,d_9_16_2020,d_9_17_2020,d_9_18_2020,d_9_19_2020,d_9_20_2020,d_9_21_2020,d_9_22_2020,d_9_23_2020,d_9_24_2020,d_9_25_2020,d_9_26_2020,d_9_27_2020,d_9_28_2020,d_9_29_2020,d_9_30_2020,d_10_1_2020,d_10_2_2020,d_10_3_2020,d_10_4_2020,d_10_5_2020,d_10_6_2020,d_10_7_2020,d_10_8_2020,d_10_9_2020,d_10_10_2020,d_10_11_2020,d_10_12_2020,d_10_13_2020,d_10_14_2020,d_10_15_2020,d_10_16_2020,d_10_17_2020,d_10_18_2020,d_10_19_2020,d_10_20_2020,d_10_21_2020,d_10_22_2020,d10_23_2020,d10_24_2020,d10_25_2020,d10_26_2020,d10_27_2020,d10_28_2020,d10_29_2020,d10_30_2020,d10_31_2020,d11_01_2020,d11_02_2020,d11_03_2020,d11_04_2020,d11_05_2020,d11_06_2020,d11_07_2020,d11_08_2020,d11_09_2020,d11_10_2020,d11_11_2020,d11_12_2020,d11_13_2020,d11_14_2020,d11_15_2020,d11_16_2020,d11_17_2020,d11_18_2020,d11_19_2020,d11_20_2020,d11_21_2020,d11_22_2020,d11_23_2020,d11_24_2020,d11_25_2020,d11_26_2020,d11_27_2020,d11_28_2020,d11_29_2020,d11_30_2020,d12_01_2020,d12_02_2020,d12_03_2020,d12_04_2020,d12_05_2020,d12_06_2020,d12_07_2020,d12_09_2020,d12_10_2020,d12_11_2020,d12_12_2020
11,Frederick,21744,21993,20382,20733,21046,21392,21742,22056,22428,22720,23008,23277,23594,23931,24351,24650,24821,25263,25765,26647,26821,26956,27180,27571,27866,28307,28726,29591,29924,30734,31379,32183,33021,33728,34329,34913,35676,36503,37190,37759,38465,38742,39537,40248,40811,41312,41819,42229,42712,43242,43593,43996,44364,44831,45118,45788,46390,47123,48115,49380,50161,51155,51992,52698,53339,54082,54884,55729,56287,56741,57314,57723,57979,58376,58899,59516,59983,60436,60815,61161,61619,62112,62473,62783,62802,63427,63629,64000,64490,64958,64983,65895,66351,66784,67232,67594,68145,68626,68927,69235,69685,70197,70674,71066,71481,71822,72235,72636,73042,73514,74004,74434,74880,75298,75710,76259,76804,77377,77891,78384,78705,79083,79572,79990,80450,80920,81311,81323,82086,82528,82989,83613,84050,84448,84930,85338,85962,86440,86996,87498,87842,88054,88541,89001,89640,90129,90732,91247,91820,92376,92932,93568,94333,94403,95536,96253,96890,97555,98315,99157,99999,100611,101259,102173,102906,103436,104090,104761,105328,106021,107177,107844,108842,109622,110495,111165,112613,113344,114145,115126
12,Garrett,1023,1497,1348,1347,1373,1400,1420,1432,1441,1448,1439,1479,1491,1526,1539,1705,1698,1703,1714,1742,1782,1788,1795,1824,2007,2026,2074,2242,2261,2273,2320,2337,2400,2444,2470,2479,2635,2959,3014,3032,3062,3078,3119,3174,3188,3207,3245,3274,3296,3322,3329,3358,3383,3427,3442,3474,3513,3529,3551,3656,3676,3707,3769,3825,3858,3887,3934,3970,4011,4033,4055,4062,4071,4086,4209,4249,4429,4432,4439,4452,4471,4579,4618,4648,4648,4679,4685,4702,4722,4768,4769,4818,4848,4865,4878,4895,4936,4989,5000,5005,5023,5032,5074,5170,5221,5193,5198,5217,5234,5473,5514,5542,5552,5558,5589,5612,5632,5685,5707,5743,5752,5775,5809,5857,5909,5944,5969,5970,6009,6051,6094,6151,6265,6303,6345,6367,6453,6495,6537,6574,6587,6642,6675,6735,6800,6846,6878,6915,6953,7035,7050,7131,7253,7284,7440,7542,7787,7974,8060,8147,8243,8288,8479,8701,8896,8960,9023,9140,9191,9255,9319,9390,9510,9578,9680,9746,9901,9968,10030,10088
13,Harford,14652,14853,14284,14494,14661,14886,15071,15260,15418,15621,15856,16035,16254,16553,16892,17048,17244,17572,17854,18160,18429,18736,18942,19244,19626,19905,20166,20634,20941,21297,21669,22102,22650,23024,23587,23942,24330,24886,25285,25756,26375,26769,27369,27766,28224,28817,29288,29877,30482,31041,31317,31673,32239,32772,33264,33930,34522,34813,35303,36296,36929,37526,38203,38727,39043,39393,39968,40623,41345,41790,42347,42589,42901,43353,43957,44372,45014,45381,45613,45878,46363,46782,47092,47478,47509,47966,48115,48524,48863,49297,49327,49987,50166,50634,51032,51411,51771,52170,52397,52537,52815,53239,53591,53948,54241,54592,54746,55025,55355,55701,56036,56391,56633,56845,57295,57760,58158,58527,58967,59221,59485,59796,60229,60549,60908,61261,61673,61686,62044,62530,63089,63492,63836,64185,64461,64750,65156,65530,65909,66310,66768,66972,67462,67922,68388,68933,69360,69813,70212,70829,71276,71821,72402,72486,73511,73926,74600,75475,76003,76741,77533,78071,78608,79389,79988,80628,80983,81540,82011,82381,82830,83218,83831,84467,84846,85424,86441,87222,87737,88395
14,Howard,22884,23617,21936,22269,22644,23096,23433,23721,24060,24402,24715,25012,25373,25571,26309,26588,27047,27682,28125,28734,29139,29729,30150,30756,31140,31800,32300,33188,33853,34609,35353,36069,36773,37829,38943,39446,40273,40892,41269,42155,43316,44033,45001,45806,46098,47063,48229,50081,51055,51982,52741,53324,53461,54335,54957,55948,56920,57516,58067,58773,59953,60964,61881,62707,63277,63648,64198,65341,66061,66735,67640,68174,68497,69287,70190,70800,71603,72168,72864,73226,73946,74826,75723,76176,76208,77258,77492,78059,78744,79358,79383,80366,80876,81435,81972,82907,83662,84291,84697,85071,85526,85976,86525,87082,87623,88071,88448,88866,89447,90078,90791,91567,92084,92487,92912,93575,94168,94903,95603,96193,96647,97184,97802,98453,99075,99594,100045,100068,100907,101653,102205,102750,103386,103801,104353,104676,105292,105857,106430,106890,107504,108082,108522,109035,109759,110312,110840,111497,112029,112640,113126,113827,114376,114436,115417,116078,116581,117571,118322,119567,120511,121285,121963,122766,123970,125055,125760,126554,127191,127889,128480,129001,129848,130880,131735,132485,133755,134715,135500,136451
15,Kent,1744,1758,1847,1874,1924,1983,2004,2037,2066,2075,2168,2307,2341,2356,2393,2405,2417,2514,2722,2826,2859,2883,2892,2903,2924,2941,2957,3002,3014,3043,3057,3085,3168,3228,3313,3368,3415,3429,3492,3549,3638,3703,3754,3805,3837,3907,3962,4011,4112,4141,4164,4184,4288,4307,4348,4427,4461,4497,4547,4611,4638,4689,4785,4828,4847,4902,4933,4967,5023,5049,5076,5090,5146,5175,5198,5303,5371,5464,5479,5530,5563,5586,5679,5756,5760,5815,5820,5831,5851,5943,5945,6034,6061,6073,6101,6179,6255,6313,6330,6340,6356,6410,6433,6500,6523,6552,6557,6614,6639,6657,6751,6780,6801,6820,6885,6943,6963,6986,7040,7064,7150,7163,7197,7205,7235,7273,7345,7345,7366,7400,7462,7485,7508,7566,7585,7605,7629,7649,7706,7739,7758,7817,7833,7853,7881,7951,7975,7993,8079,8102,8142,8167,8196,8198,8283,8293,8354,8409,8454,8544,8602,8674,8710,8771,8898,8946,8978,9011,9038,9127,9144,9189,9251,9393,9451,9530,9606,9733,9780,9886
16,Montgomery,84181,85201,76396,77232,78148,79744,81028,82031,83122,84091,85410,86492,87611,88922,90614,91553,92878,95394,97157,98754,99945,101376,102667,104221,105888,107557,108578,111452,112806,116653,118957,120926,123955,126403,130176,131658,133535,136042,137957,140129,143523,146036,148639,150396,151946,154638,158366,161362,163933,167050,168799,170310,171784,174568,176172,181006,184157,185513,187960,190838,193677,195827,198005,200279,201821,203171,205349,208025,210309,212329,214749,216218,217507,220073,222530,224337,226808,228656,230295,231728,233484,236021,238105,239477,239617,242860,244134,245304,246864,248380,248458,252273,253493,255324,257545,259084,262072,263527,265007,266206,267971,269482,271539,274015,275844,277490,279533,281097,283189,285503,287010,289116,291025,292609,294598,297078,299632,302427,304377,307345,310133,312492,314437,317627,319604,321820,324036,324130,327373,329450,332034,334122,336909,339238,341413,342892,345370,347064,349386,351235,353788,355497,357374,359652,362236,363953,366420,368822,370699,373043,375112,377176,379807,380069,383876,386512,389466,393977,397206,400550,403874,406101,408905,412483,415605,419531,422181,425813,428259,430792,433688,436125,440608,444784,448200,451619,458710,463353,466804,471676
17,Prince George's,80666,81699,72483,73457,74211,75494,76581,77261,78804,79663,80866,81774,82375,83256,84552,85559,86588,87940,89577,90723,91432,92541,94016,95156,96426,97312,98074,99642,100459,102468,104564,106149,108172,109361,111949,113253,116977,118730,119944,121040,123667,124979,127160,128916,130863,132690,134618,136622,138216,140026,142519,143573,144605,146511,148746,150720,152699,155185,156347,158504,160600,162730,164120,165746,167881,168637,170511,173066,175721,177326,179159,180696,181564,183659,186399,188391,191560,193490,195028,195965,198218,200729,203356,205153,205263,208075,209056,210205,211528,212981,213075,215130,216420,217730,220193,221701,223469,224879,226218,227527,228586,230105,231678,233360,234903,235934,237076,238336,239687,241539,242827,243999,245162,246114,247251,248813,250293,252081,253438,254619,255861,257143,258924,260370,262060,263461,264484,264604,266851,268405,270130,271503,272916,273858,275619,276958,278216,279483,281485,282844,284007,285000,286542,288147,289993,291275,292646,293718,295491,297276,298497,300227,302075,302292,304562,306675,308289,310713,313399,316174,318272,319790,321807,324595,326334,328468,330432,332286,333512,335714,337419,338716,341112,344039,346164,347910,352632,355385,357872,360903
18,Queen Anne's,2448,2542,2110,2140,2190,2228,2284,2322,2362,2387,2425,2486,2564,2599,2676,2690,2713,2769,2807,2872,3017,3062,3110,3155,3248,3299,3398,3454,3495,3618,3659,3751,3974,4201,4445,4698,4785,4842,4990,5245,5573,5901,6181,6284,6329,6416,6662,6815,7030,7080,7126,7168,7285,7354,7414,7522,7594,7674,7728,7830,8045,8181,8431,8545,8626,8680,8781,8986,9083,9163,9280,9382,9413,9508,9625,9716,9789,9917,9974,10003,10081,10211,10294,10389,10397,10501,10531,10575,10677,10782,10783,10881,10916,10955,11004,11169,11227,11303,11331,11384,11413,11467,11557,11615,11678,11731,11770,11820,11917,12047,12113,12208,12245,12281,12333,12434,12509,12636,12752,12790,12818,12862,12910,12987,13088,13227,13265,13269,13345,13441,13566,13627,13736,13781,13824,13862,13936,14058,14136,14188,14233,14272,14330,14411,14457,14568,14625,14677,14773,14849,14962,15056,15186,15192,15336,15410,15472,15620,15851,15959,16074,16313,16399,16483,16589,16703,16761,16833,16912,16966,17018,17118,17231,17448,17572,17715,17897,18024,18172,18343
19,Somerset,3047,4714,4579,6419,4668,4724,4752,4756,4794,4825,4846,4856,4882,4890,4924,4945,4950,4962,4978,4996,5003,5027,5198,5214,5240,5277,5286,5394,5427,5495,5541,5555,5575,5598,5770,5834,5907,5922,5935,5953,5976,6044,6069,6085,6091,6107,6214,6271,6296,6311,6341,6391,6439,6516,6545,6597,6691,6720,6738,6983,7107,7285,7476,7508,7544,7561,7581,7612,7737,7762,7809,7825,7871,7896,7976,8022,8047,8073,8084,8092,8116,8191,8240,8256,8257,8296,8325,8343,8446,8489,8492,8540,8820,8860,8948,8975,9030,9060,9074,9127,9134,9146,9200,9248,9266,9282,9296,9313,9328,9364,9434,9463,9485,9536,9555,9668,9727,9750,9795,9821,9853,9886,9911,9939,10001,10065,10098,10106,10188,10204,10231,10323,10345,10367,10420,10439,10467,10495,10572,10615,10638,10664,10724,10781,10814,10870,10905,10917,10968,10944,10974,11007,11060,11068,11140,11164,11180,11217,11258,11302,11394,11422,11473,11519,11556,11584,11630,11670,11709,11818,11848,11901,11902,11962,12040,12076,12196,12229,12306,12393
20,St. Mary's,7330,7481,6179,4660,6579,6664,6741,6821,6861,6915,7053,7172,7346,7411,7589,7876,7976,8118,8340,8459,8600,8701,8760,8856,9025,9172,9354,9564,9718,9933,10115,10341,10627,10845,11105,11282,11508,11749,11927,12202,12506,12814,13050,13170,13287,13527,13816,14025,14270,14491,14625,14734,14896,15194,15373,15762,16011,16124,16313,16544,16828,17007,17243,17444,17552,17743,17930,18134,18361,18524,18673,18760,18881,18996,19266,19510,19660,19818,19893,19964,20143,20294,20388,20476,20488,20712,20784,20915,21017,21199,21206,21530,21653,21792,21978,22156,22356,22536,22698,22809,22903,23118,23340,23503,23622,23804,23911,24088,24262,24469,24606,24779,24865,24987,25120,25279,25432,25629,25796,25940,26010,26133,26273,26422,26628,26751,26871,26880,27107,27313,27491,27686,27884,27990,28048,28215,28397,28501,28633,28772,28904,28958,29182,29331,29599,29748,29961,30083,30216,30532,30751,30963,31327,31356,31763,31935,32191,32598,32918,33230,33565,33735,34026,34406,34581,34860,34974,35263,35469,35550,35704,35850,36126,36286,36642,36811,37322,37705,37952,38248
21,Talbot,2971,3125,2855,2892,2955,3080,3146,3238,3259,3277,3349,3421,3600,3627,3699,3736,3757,3815,4039,4121,4312,4386,4432,4480,4538,4585,4652,4698,4793,4864,4969,5093,5201,5295,5403,5513,5632,5694,5798,6051,6337,6546,6691,6813,6854,6998,7154,7375,7574,7633,7670,7694,7819,7959,8057,8207,8284,8323,8349,8513,8557,8679,8792,8901,8935,8975,9096,9169,9223,9336,9426,9484,9525,9584,9691,9850,9947,10005,10036,10058,10163,10256,10345,10396,10401,10526,10538,10576,10622,10700,10702,10829,10882,10933,10978,11029,11112,11251,11285,11325,11373,11454,11548,11643,11708,11773,11805,11826,11928,11990,12069,12124,12167,12204,12239,12329,12377,12441,12532,12577,12583,12622,12685,12728,12825,12911,12965,12967,13038,13130,13180,13237,13325,13371,13391,13416,13483,13543,13669,13732,13792,13825,13853,13903,13959,14037,14133,14163,14193,14235,14339,14417,14535,14546,14680,14743,14811,14905,14977,15130,15228,15327,15457,15542,15680,15804,15906,15994,16054,16113,16159,16207,16270,16431,16529,16603,16694,16819,16894,17032
22,Washington,14466,14701,12888,13041,13263,13485,13664,13821,15358,16416,17452,18769,19940,20187,20552,20767,20820,20953,21433,21656,21776,21942,21982,22156,22445,22653,22829,23269,23333,23522,23766,23924,24193,24603,25195,25387,25734,26078,26308,26680,27218,27404,27847,28199,28483,28808,29260,29690,30020,30305,30463,30708,30944,31180,31420,31736,31975,32266,32535,33088,33615,33962,34174,34501,34756,35058,35210,35590,36069,36466,36605,36780,37132,37345,37700,37938,38278,38402,38514,38644,38910,39175,39377,39537,39543,39782,39837,40030,40260,40575,40594,41025,41131,41405,41590,41839,42115,42431,42584,42696,42951,43159,43487,43820,44067,44138,44269,44510,44639,44958,45242,45446,45619,45742,45976,46193,46398,46617,46867,47071,47223,47529,47809,48055,48326,48614,48765,48773,49177,49420,49649,49990,50217,50347,50501,50772,51006,51306,51601,51857,52046,52117,52432,52719,53097,53461,53983,54147,54340,54708,54991,55401,55762,55845,56508,56713,57136,57687,58335,58810,59435,59661,59899,60299,60775,61135,61304,61677,61876,62305,62620,63017,63669,64205,64601,65014,65697,66137,66642,67059
23,Wicomico,12090,12145,10320,10458,10542,10648,10703,10773,10857,11017,11158,11248,11303,11371,11445,11552,11652,11764,11930,12029,12109,12172,12246,12372,12588,12759,12898,13092,13173,13342,13651,13826,13977,14159,14301,14400,14606,14829,15017,15169,15481,15708,16003,16280,16403,16669,16951,17190,17506,17669,17825,17946,18084,18243,18462,18687,18858,18968,19069,19277,19453,19857,20195,20336,20415,20494,20644,20791,21142,21442,22617,22735,22860,23039,23158,23445,23702,23944,24018,24081,24301,24569,24841,24976,24997,25182,25275,25362,25530,26047,26063,26412,26725,27060,27187,27341,27660,27792,27950,28020,28096,28218,28433,28675,28837,28931,29015,29128,29262,29380,29581,29794,29904,30013,30093,30308,30486,30690,31002,31122,31202,31326,31444,31581,31856,32079,32311,32328,32572,32689,32856,33044,33187,33395,33490,33558,33744,33881,34057,34205,34406,34486,34613,34795,34950,35096,35276,35454,35540,35687,35826,35951,36231,36266,36554,36695,36907,37143,37316,37508,37835,38014,38258,38518,38775,39097,39261,39458,39700,39808,39933,40103,40341,40639,40809,41072,41401,41831,42108,42428
24,Worcester,3711,3735,3538,3624,3682,3784,3875,3916,3937,3979,4042,4119,4194,4234,4305,4337,4382,4415,4510,4653,4714,4763,4794,4859,5008,5079,5177,5353,5386,5464,5578,5881,5982,6253,6429,6543,6639,6867,7097,7339,7660,7951,8055,8086,8248,8423,8722,9010,9158,9241,9489,9569,9633,9737,9935,10072,10137,10186,10368,10455,10559,10769,10948,11017,11069,11175,11225,11343,11530,11605,11779,11813,12052,12117,12255,12369,12443,12493,12560,12597,12816,12957,13083,13158,13167,13351,13382,13541,13697,13867,13877,14449,14580,14664,14800,14930,15327,15442,15487,15518,15590,15664,15788,15898,15989,16032,16072,16169,16238,16358,16441,16531,16603,16665,16744,16881,16986,17077,17190,17233,17309,17384,17463,17520,17596,17694,17763,17769,17902,17966,18064,18185,18265,18363,18404,18442,18534,18596,18774,18931,18981,19009,19100,19179,19272,19387,19454,19512,19549,19663,19732,19804,19951,19967,20095,20151,20274,20408,20534,20620,20825,20905,20983,21064,21171,21235,21296,21472,21580,21629,21739,21811,21942,22067,22137,22246,22493,22600,22728,22861
