OBJECTID,DATE,Acute,ICU,Total
136,2020/08/08 14:00:00+00,388,127,515
137,2020/08/09 14:00:00+00,397,128,525
138,2020/08/10 14:00:00+00,415,119,534
139,2020/08/11 14:00:00+00,408,121,529
140,2020/08/12 14:00:00+00,371,117,488
141,2020/08/13 14:00:00+00,359,111,470
142,2020/08/14 14:00:00+00,350,107,457
143,2020/08/15 14:00:00+00,353,107,460
144,2020/08/16 14:00:00+00,360,115,475
145,2020/08/17 14:00:00+00,329,106,435
146,2020/08/18 14:00:00+00,351,102,453
147,2020/08/19 14:00:00+00,368,107,475
148,2020/08/20 14:00:00+00,348,107,455
149,2020/08/21 14:00:00+00,353,102,455
150,2020/08/22 14:00:00+00,343,98,441
151,2020/08/23 14:00:00+00,308,99,407
152,2020/08/24 14:00:00+00,304,103,407
153,2020/08/25 14:00:00+00,314,97,411
154,2020/08/26 14:00:00+00,326,106,432
155,2020/08/27 14:00:00+00,305,107,412
156,2020/08/28 14:00:00+00,306,106,412
157,2020/08/29 14:00:00+00,281,106,387
158,2020/08/30 14:00:00+00,251,107,358
159,2020/08/31 14:00:00+00,270,107,377
160,2020/09/01 14:00:00+00,273,112,385
161,2020/09/02 14:00:00+00,257,113,370
162,2020/09/03 14:00:00+00,270,112,382
163,2020/09/04 14:00:00+00,287,108,395
164,2020/09/05 14:00:00+00,253,100,353
165,2020/09/06 14:00:00+00,245,96,341
166,2020/09/07 14:00:00+00,253,109,362
167,2020/09/08 14:00:00+00,263,102,365
168,2020/09/09 14:00:00+00,275,95,370
169,2020/09/10 14:00:00+00,266,92,358
170,2020/09/11 14:00:00+00,280,89,369
171,2020/09/12 14:00:00+00,276,85,361
172,2020/09/13 14:00:00+00,262,89,351
173,2020/09/14 14:00:00+00,257,90,347
174,2020/09/15 14:00:00+00,278,93,371
175,2020/09/16 14:00:00+00,261,86,347
176,2020/09/17 14:00:00+00,270,83,353
177,2020/09/18 14:00:00+00,263,84,347
178,2020/09/19 14:00:00+00,249,75,324
179,2020/09/20 14:00:00+00,213,68,281
180,2020/09/21 14:00:00+00,219,71,290
181,2020/09/22 14:00:00+00,232,77,309
182,2020/09/23 14:00:00+00,253,79,332
183,2020/09/24 14:00:00+00,268,81,349
184,2020/09/25 14:00:00+00,265,79,344
185,2020/09/26 14:00:00+00,266,81,347
186,2020/09/27 14:00:00+00,238,90,328
187,2020/09/28 14:00:00+00,233,82,315
188,2020/09/29 14:00:00+00,265,79,344
189,2020/09/30 14:00:00+00,257,77,334
190,2020/10/01 14:00:00+00,257,74,331
191,2020/10/02 14:00:00+00,243,80,323
192,2020/10/03 14:00:00+00,245,78,323
193,2020/10/04 14:00:00+00,243,77,320
194,2020/10/05 14:00:00+00,253,85,338
195,2020/10/06 14:00:00+00,272,88,360
196,2020/10/07 14:00:00+00,298,93,391
197,2020/10/08 14:00:00+00,305,98,403
198,2020/10/09 14:00:00+00,295,96,391
199,2020/10/10 14:00:00+00,292,91,383
200,2020/10/11 14:00:00+00,303,90,393
201,2020/10/12 14:00:00+00,291,93,384
202,2020/10/13 14:00:00+00,300,102,402
203,2020/10/14 14:00:00+00,304,113,417
204,2020/10/15 14:00:00+00,303,109,412
205,2020/10/16 14:00:00+00,305,111,416
206,2020/10/17 14:00:00+00,314,108,422
207,2020/10/18 14:00:00+00,318,115,433
208,2020/10/19 14:00:00+00,318,116,434
209,2020/10/20 14:00:00+00,341,123,464
210,2020/10/21 14:00:00+00,332,131,463
211,2020/10/22 14:00:00+00,333,125,458
212,2020/10/23 14:00:00+00,336,122,458
213,2020/10/24 14:00:00+00,346,109,455
214,2020/10/25 14:00:00+00,343,103,446
215,2020/10/26 14:00:00+00,344,112,456
216,2020/10/27 14:00:00+00,366,105,471
217,2020/10/28 14:00:00+00,387,114,501
218,2020/10/29 14:00:00+00,382,120,502
219,2020/10/30 14:00:00+00,387,126,513
220,2020/10/31 14:00:00+00,394,126,520
221,2020/11/01 15:00:00+00,396,127,523
222,2020/11/02 15:00:00+00,396,133,529
223,2020/11/03 15:00:00+00,419,143,562
224,2020/11/04 15:00:00+00,441,154,595
225,2020/11/05 15:00:00+00,431,157,588
226,2020/11/06 15:00:00+00,457,152,609
227,2020/11/07 15:00:00+00,479,153,632
228,2020/11/08 15:00:00+00,492,163,655
