OBJECTID,DATE,Male,Female,Unknown
131,2020/08/16 14:00:00+00,1776,1726,0
132,2020/08/17 14:00:00+00,1779,1725,0
133,2020/08/18 14:00:00+00,1784,1727,0
134,2020/08/19 14:00:00+00,1792,1730,0
135,2020/08/20 14:00:00+00,1796,1735,0
136,2020/08/21 14:00:00+00,1798,1738,0
137,2020/08/22 14:00:00+00,1804,1742,0
138,2020/08/23 14:00:00+00,1810,1742,0
139,2020/08/24 14:00:00+00,1811,1743,0
140,2020/08/25 14:00:00+00,1815,1749,0
141,2020/08/26 14:00:00+00,1822,1752,0
142,2020/08/27 14:00:00+00,1825,1755,0
143,2020/08/28 14:00:00+00,1835,1758,0
144,2020/08/29 14:00:00+00,1841,1762,0
145,2020/08/30 14:00:00+00,1845,1764,0
146,2020/08/31 14:00:00+00,1845,1767,0
147,2020/09/01 14:00:00+00,1847,1770,0
148,2020/09/02 14:00:00+00,1851,1772,0
149,2020/09/03 14:00:00+00,1857,1777,0
150,2020/09/04 14:00:00+00,1860,1785,0
151,2020/09/05 14:00:00+00,1862,1790,0
152,2020/09/06 14:00:00+00,1863,1792,0
153,2020/09/07 14:00:00+00,1864,1796,0
154,2020/09/08 14:00:00+00,1866,1797,0
155,2020/09/09 14:00:00+00,1868,1804,0
156,2020/09/10 14:00:00+00,1872,1807,0
157,2020/09/11 14:00:00+00,1876,1809,0
158,2020/09/12 14:00:00+00,1882,1811,0
159,2020/09/13 14:00:00+00,1883,1812,0
160,2020/09/14 14:00:00+00,1883,1813,0
161,2020/09/15 14:00:00+00,1890,1816,0
162,2020/09/16 14:00:00+00,1893,1819,0
163,2020/09/17 14:00:00+00,1895,1822,0
164,2020/09/18 14:00:00+00,1899,1825,0
165,2020/09/19 14:00:00+00,1904,1828,0
166,2020/09/20 14:00:00+00,1904,1831,0
167,2020/09/21 14:00:00+00,1908,1831,0
168,2020/09/22 14:00:00+00,1914,1834,0
169,2020/09/23 14:00:00+00,1917,1839,0
170,2020/09/24 14:00:00+00,1921,1844,0
171,2020/09/25 14:00:00+00,1925,1847,0
172,2020/09/26 14:00:00+00,1933,1847,0
173,2020/09/27 14:00:00+00,1941,1849,0
174,2020/09/28 14:00:00+00,1941,1852,0
175,2020/09/29 14:00:00+00,1944,1858,0
176,2020/09/30 14:00:00+00,1944,1861,0
177,2020/10/01 14:00:00+00,1944,1861,0
178,2020/10/02 14:00:00+00,1944,1862,0
179,2020/10/03 14:00:00+00,1949,1864,0
180,2020/10/04 14:00:00+00,1950,1864,0
181,2020/10/05 14:00:00+00,1952,1865,0
182,2020/10/06 14:00:00+00,1955,1868,0
183,2020/10/07 14:00:00+00,1956,1873,0
184,2020/10/08 14:00:00+00,1957,1878,0
185,2020/10/09 14:00:00+00,1962,1883,0
186,2020/10/10 14:00:00+00,1966,1884,0
187,2020/10/11 14:00:00+00,1970,1884,0
188,2020/10/12 14:00:00+00,1972,1887,0
189,2020/10/13 14:00:00+00,1976,1892,0
190,2020/10/14 14:00:00+00,1978,1899,0
191,2020/10/15 14:00:00+00,1983,1900,0
192,2020/10/16 14:00:00+00,1984,1903,0
193,2020/10/17 14:00:00+00,1985,1906,0
194,2020/10/18 14:00:00+00,1985,1906,0
195,2020/10/19 14:00:00+00,1988,1907,0
196,2020/10/20 14:00:00+00,1993,1911,0
197,2020/10/21 14:00:00+00,1996,1916,0
198,2020/10/22 14:00:00+00,2004,1920,0
199,2020/10/23 14:00:00+00,2007,1925,0
200,2020/10/24 14:00:00+00,2015,1930,0
201,2020/10/25 14:00:00+00,2017,1933,0
202,2020/10/26 14:00:00+00,2019,1934,0
203,2020/10/27 14:00:00+00,2026,1936,0
204,2020/10/28 14:00:00+00,2031,1938,0
205,2020/10/29 14:00:00+00,2038,1942,0
