OBJECTID,DATE,Count_
73,2020/05/29 14:00:00+00,37
74,2020/05/30 14:00:00+00,25
75,2020/05/31 14:00:00+00,33
76,2020/06/01 14:00:00+00,30
77,2020/06/02 14:00:00+00,24
78,2020/06/03 14:00:00+00,37
79,2020/06/04 14:00:00+00,33
80,2020/06/05 14:00:00+00,30
81,2020/06/06 14:00:00+00,24
82,2020/06/07 14:00:00+00,27
83,2020/06/08 14:00:00+00,21
84,2020/06/09 14:00:00+00,25
85,2020/06/10 14:00:00+00,31
86,2020/06/11 14:00:00+00,23
87,2020/06/12 14:00:00+00,22
88,2020/06/13 14:00:00+00,16
89,2020/06/14 14:00:00+00,16
90,2020/06/15 14:00:00+00,23
91,2020/06/16 14:00:00+00,13
92,2020/06/17 14:00:00+00,22
93,2020/06/18 14:00:00+00,9
94,2020/06/19 14:00:00+00,20
95,2020/06/20 14:00:00+00,21
96,2020/06/21 14:00:00+00,13
97,2020/06/22 14:00:00+00,16
98,2020/06/23 14:00:00+00,14
99,2020/06/24 14:00:00+00,16
100,2020/06/25 14:00:00+00,11
101,2020/06/26 14:00:00+00,14
102,2020/06/27 14:00:00+00,19
103,2020/06/28 14:00:00+00,6
104,2020/06/29 14:00:00+00,15
105,2020/06/30 14:00:00+00,13
106,2020/07/01 14:00:00+00,14
107,2020/07/02 14:00:00+00,7
108,2020/07/03 14:00:00+00,17
109,2020/07/04 14:00:00+00,8
110,2020/07/05 14:00:00+00,6
111,2020/07/06 14:00:00+00,14
112,2020/07/07 14:00:00+00,11
113,2020/07/08 14:00:00+00,6
114,2020/07/09 14:00:00+00,10
115,2020/07/10 14:00:00+00,7
116,2020/07/11 14:00:00+00,11
117,2020/07/12 14:00:00+00,7
118,2020/07/13 14:00:00+00,6
119,2020/07/14 14:00:00+00,2
120,2020/07/15 14:00:00+00,10
121,2020/07/16 14:00:00+00,12
122,2020/07/17 14:00:00+00,8
123,2020/07/18 14:00:00+00,10
124,2020/07/19 14:00:00+00,11
125,2020/07/20 14:00:00+00,7
126,2020/07/21 14:00:00+00,10
127,2020/07/22 14:00:00+00,4
128,2020/07/23 14:00:00+00,9
129,2020/07/24 14:00:00+00,10
130,2020/07/25 14:00:00+00,8
131,2020/07/26 14:00:00+00,7
132,2020/07/27 14:00:00+00,10
133,2020/07/28 14:00:00+00,12
134,2020/07/29 14:00:00+00,10
135,2020/07/30 14:00:00+00,8
136,2020/07/31 14:00:00+00,7
137,2020/08/01 14:00:00+00,12
138,2020/08/02 14:00:00+00,8
139,2020/08/03 14:00:00+00,10
140,2020/08/04 14:00:00+00,9
141,2020/08/05 14:00:00+00,9
142,2020/08/06 14:00:00+00,9
143,2020/08/07 14:00:00+00,12
144,2020/08/08 14:00:00+00,8
145,2020/08/09 14:00:00+00,4
146,2020/08/10 14:00:00+00,12
147,2020/08/11 14:00:00+00,6
148,2020/08/12 14:00:00+00,12
149,2020/08/13 14:00:00+00,9
150,2020/08/14 14:00:00+00,6
151,2020/08/15 14:00:00+00,8
152,2020/08/16 14:00:00+00,3
153,2020/08/17 14:00:00+00,8
154,2020/08/18 14:00:00+00,7
155,2020/08/19 14:00:00+00,5
156,2020/08/20 14:00:00+00,6
157,2020/08/21 14:00:00+00,13
158,2020/08/22 14:00:00+00,11
159,2020/08/23 14:00:00+00,6
160,2020/08/24 14:00:00+00,0
