OBJECTID,DATE,Count_
162,2020/08/26 14:00:00+00,3574
163,2020/08/27 14:00:00+00,3580
164,2020/08/28 14:00:00+00,3593
165,2020/08/29 14:00:00+00,3603
166,2020/08/30 14:00:00+00,3609
167,2020/08/31 14:00:00+00,3612
168,2020/09/01 14:00:00+00,3617
169,2020/09/02 14:00:00+00,3623
170,2020/09/03 14:00:00+00,3634
171,2020/09/04 14:00:00+00,3645
172,2020/09/05 14:00:00+00,3652
173,2020/09/06 14:00:00+00,3655
174,2020/09/07 14:00:00+00,3660
175,2020/09/08 14:00:00+00,3663
176,2020/09/09 14:00:00+00,3672
177,2020/09/10 14:00:00+00,3679
178,2020/09/11 14:00:00+00,3685
179,2020/09/12 14:00:00+00,3693
180,2020/09/13 14:00:00+00,3695
181,2020/09/14 14:00:00+00,3696
182,2020/09/15 14:00:00+00,3706
183,2020/09/16 14:00:00+00,3712
184,2020/09/17 14:00:00+00,3717
185,2020/09/18 14:00:00+00,3724
186,2020/09/19 14:00:00+00,3732
187,2020/09/20 14:00:00+00,3735
188,2020/09/21 14:00:00+00,3739
189,2020/09/22 14:00:00+00,3748
190,2020/09/23 14:00:00+00,3756
191,2020/09/24 14:00:00+00,3765
192,2020/09/25 14:00:00+00,3772
193,2020/09/26 14:00:00+00,3780
194,2020/09/27 14:00:00+00,3790
195,2020/09/28 14:00:00+00,3793
196,2020/09/29 14:00:00+00,3802
197,2020/09/30 14:00:00+00,3805
198,2020/10/01 14:00:00+00,3805
199,2020/10/02 14:00:00+00,3806
200,2020/10/03 14:00:00+00,3813
201,2020/10/04 14:00:00+00,3814
202,2020/10/05 14:00:00+00,3817
203,2020/10/06 14:00:00+00,3823
204,2020/10/07 14:00:00+00,3829
205,2020/10/08 14:00:00+00,3835
206,2020/10/09 14:00:00+00,3845
207,2020/10/10 14:00:00+00,3850
208,2020/10/11 14:00:00+00,3854
209,2020/10/12 14:00:00+00,3859
210,2020/10/13 14:00:00+00,3868
211,2020/10/14 14:00:00+00,3877
212,2020/10/15 14:00:00+00,3883
213,2020/10/16 14:00:00+00,3887
214,2020/10/17 14:00:00+00,3891
215,2020/10/18 14:00:00+00,3891
216,2020/10/19 14:00:00+00,3895
217,2020/10/20 14:00:00+00,3904
218,2020/10/21 14:00:00+00,3912
219,2020/10/22 14:00:00+00,3924
220,2020/10/23 14:00:00+00,3932
221,2020/10/24 14:00:00+00,3945
222,2020/10/25 14:00:00+00,3950
223,2020/10/26 14:00:00+00,3953
224,2020/10/27 14:00:00+00,3962
225,2020/10/28 14:00:00+00,3969
226,2020/10/29 14:00:00+00,3980
227,2020/10/30 14:00:00+00,3990
228,2020/10/31 14:00:00+00,4000
229,2020/11/01 15:00:00+00,4004
230,2020/11/02 15:00:00+00,4007
231,2020/11/03 15:00:00+00,4015
232,2020/11/04 15:00:00+00,4025
233,2020/11/05 15:00:00+00,4035
234,2020/11/06 15:00:00+00,4046
235,2020/11/07 15:00:00+00,4052
236,2020/11/08 15:00:00+00,4063
237,2020/11/09 15:00:00+00,4072
238,2020/11/10 15:00:00+00,4084
239,2020/11/11 15:00:00+00,4100
240,2020/11/12 15:00:00+00,4112
241,2020/11/13 15:00:00+00,4124
242,2020/11/14 15:00:00+00,4144
243,2020/11/15 15:00:00+00,4153
244,2020/11/16 15:00:00+00,4160
245,2020/11/17 15:00:00+00,4186
246,2020/11/18 15:00:00+00,4201
247,2020/11/19 15:00:00+00,4220
248,2020/11/20 15:00:00+00,4245
249,2020/11/21 15:00:00+00,4261
250,2020/11/22 15:00:00+00,4279
251,2020/11/23 15:00:00+00,4293
252,2020/11/24 15:00:00+00,4325
253,2020/11/25 15:00:00+00,4363
254,2020/11/26 15:00:00+00,4392
255,2020/11/27 15:00:00+00,4414
256,2020/11/28 15:00:00+00,4447
257,2020/11/29 15:00:00+00,4470
258,2020/11/30 15:00:00+00,4486
259,2020/12/01 15:00:00+00,4516
260,2020/12/02 15:00:00+00,4558
261,2020/12/03 15:00:00+00,4606
262,2020/12/04 15:00:00+00,4630
263,2020/12/05 15:00:00+00,4659
264,2020/12/06 15:00:00+00,4685
265,2020/12/07 15:00:00+00,4705
266,2020/12/08 15:00:00+00,4755
267,2020/12/09 15:00:00+00,4801
268,2020/12/10 15:00:00+00,4850
269,2020/12/11 15:00:00+00,4901
270,2020/12/12 15:00:00+00,4937
271,2020/12/13 15:00:00+00,4954
